,text,tags_filter
28,invalidating json web token new node project working thinking switching cookie based session approach mean storing key value store containing user session user browser token based session approach key value store using json web token jwt project game utilizes socket token based session would useful scenario multiple communication channel single session web socket would one provide token session invalidation server using jwt approach also wanted understand common uncommon pitfall attack look sort paradigm example paradigm vulnerable different kind attack session store cookie based approach say following adapted session store login app get login function request response var user username request body username password request body password validate somehow validate user function isvalid profile create session token var token createsessiontoken add key value database keyvaluestore add token userid profile expiresinminutes client save session token cookie response json sessiontoken token token based login var jwt require jsonwebtoken app get login function request response var user username request body username password request body password validate somehow validate user function isvalid profile var token jwt sign profile super secret expiresinminutes response json token token logout invalidate session store approach would require update keyvaluestore database specified token seems like mechanism would exist token based approach since token would contain info would normally exist key value store,javascript
29,check string contains specific word consider contains echo true suppose code correct way write statement contains,php
30,calculate distance two latitude longitude point haversine formula calculate distance two point specified latitude longitude clarification would like distance kilometer point use wgs system would like understand relative accuracy approach available,algorithm
31,check directory exists bash script command check directory exists within bash script,bash
32,automatically generate stacktrace program crash working linux gcc compiler c++ program crash would like automatically generate stacktrace program run many different user also run linux window macintosh version compiled using gcc would like program able generate stack trace crash next time user run ask send stack trace track problem handle sending info know generate trace string idea,c++
33,stack heap stack heap located physically computer memory extent controlled language run time scope determines size make one faster,memory-management
34,href value use javascript link javascript void following two method building link sole purpose running javascript code better term functionality page load speed validation purpose etc function myjsfunc alert myjsfunc href onclick myjsfunc run javascript code function myjsfunc alert myjsfunc href javascript void onclick myjsfunc run javascript code,javascript
35,get last line file similar tail writing log file viewer web application want paginate line log file item file line based newest item bottom need tail method read line bottom support offset hat came def tail offset read line offset offset line avg line length read offset try seek avg line length read except ioerror woops apparently file smaller want step back beginning instead seek tell line read splitlines len line read return line read offset offset none avg line length reasonable approach recommended way tail log file offset,python
36,trigger button click javascript enter key text box one text input one button see use javascript trigger button click event enter key pressed inside text box already different submit button current page simply make button submit button want enter key click specific button pressed within one text box nothing else input type text txtsearch input type button btnsearch value search onclick dosomething,javascript
37,best practice use writing objective cocoa know hig quite handy programming practice use writing objective specifically using cocoa cocoatouch,iphone
38,assert certain exception thrown junit test use junit idiomatically test code throw exception certainly something like test public void testfoothrowsindexoutofboundsexception boolean thrown false try foo dostuff catch indexoutofboundsexception thrown true asserttrue thrown recall annotation assert xyz something far kludgy far spirit junit sort situation,java
39,difference uri url urn difference url uri urn,http
40,concatenate text multiple row single text string sql server consider database table holding name three row peter paul mary easy way turn single string peter paul mary,sql
41,located assembly manifest definition match assembly reference trying run unit test window form application visual studio get following error system fileloadexception could load file assembly utility version culture neutral publickeytoken one dependency located assembly manifest definition match assembly reference exception hresult foo foogo foo foo string groupname foo line foo unittests footests testfoo footests line system fileloadexception could load file assembly utility version culture neutral publickeytoken one dependency located assembly manifest definition match assembly reference exception hresult look reference reference utility version one old suggestion figure trying reference old version dll file besides think even old assembly hard drive tool search old versioned assembly,c#
42,determine whether point within polygon trying create fast point inside polygon algorithm use hit testing polygon contains point suggestion effective technique would appreciated,performance
43,check array includes value javascript concise efficient way find javascript array contains value way know function contains obj var length i++ obj return true return false better concise way accomplish closely related stack overflow question best way find item javascript array address finding object array using indexof,javascript
44,align checkboxes label consistently cross browser one minor problem plague constantly folk around stack overflow vertically align checkboxes label consistently cross browser whenever align correctly safari usually using vertical align baseline input completely firefox fix firefox safari inevitably messed waste time every time code form standard code work form div label input type checkbox label text label div form usually use eric meyer reset form element relatively clean override looking forward tip trick offer,html
45,create java string content file using idiom time seems wide spread least site visited better different way read file string java private string readfile string file throw ioexception bufferedreader reader new bufferedreader new filereader file string line null stringbuilder stringbuilder new stringbuilder string system getproperty line separator try line reader readline null stringbuilder append line stringbuilder append return stringbuilder tostring finally reader close,java
46,pretty print json script unix script format json human readable form basically want transform following foo lorem bar ipsum something like foo lorem bar ipsum,json
47,parse string float int convert str float convert str int reverse see convert integer string python converting float string without rounding please instead use read input number close duplicate question received string user input immediately want convert hoping input convert type automatically,python
48,good valgrind substitute window looking valgrind help improve coding debugging discovered linux need interest moving linux wondering equally good program window,c
49,handle multiple submit button asp net mvc framework easy way handle multiple submit button form example html beginform myaction mycontroller formmethod post input type submit value send input type submit value cancel html endform idea asp net framework beta example googled single button,c#
50,adding image video iphone simulator trying use uiimagepickercontroller uiimagepickercontrollersourcetypephotolibrary say photo simulator get image copy image displayed simulator,ios
51,able type textfield iphone simulator using mac keyboard working basic app support portrait landscape mode iphone simulator keyboard open landscape switching app portrait mode unable type anything text field using mac physical keyboard anyone experienced known bug,iphone
52,fatal error allowed memory size byte exhausted codeigniter xml rpc bunch client point sale system periodically send new sale data one centralized database store data one big database report generation client based phppos implemented module standard xml rpc library send sale data service server system built codeigniter xml rpc xml rpcs library webservice component whenever send lot sale data little row sale table individual row sale item pertaining item within sale get following error fatal error allowed memory size byte exhausted tried allocate byte default value php ini assume huge number break fact even tried setting value take longer time error step taken tried disabling processing server side rigged return canned response regardless input however believe problem lie actual sending data even tried disabling maximum script execution time php still error,php
53,overwrite model compiled mongoose sure wrong check var mongoose createconnection localhost event error console error bind console connection error var open function var user mongoose model user name string email string password string phone number enabled boolean user find function err user mongoose connection close console log username supplied +username dosomethinghere insert var mongoose require mongoose mongoose connect mongodb localhost event var user mongoose model user name string email string password string phone number enabled boolean var new user new user name req body name email req body email password req body password phone req body phone enabled false new user save function err err console log err whenever trying run check getting error overwrite user model compiled understand error come due mismatching schema see happening pretty new mongoose nodejs getting client interface mongodb mongodb version connecting test use event switched event user find objectid aaa name myname email myemail com password mypassword phone enable true,node.js
54,making uitableview scroll text field selected lot trial error giving asking question seen lot people similar problem get answer work right uitableview composed custom cell cell made text field next sort like grid try scroll edit cell bottom uitableview manage get cell properly positioned keyboard seen many answer talking changing view size etc none worked nicely far could anybody clarify right way concrete code example,ios
55,know radio button selected via jquery two radio button want post value selected one get value jquery get like form radio know one selected,javascript
56,clone subdirectory git repository git repository root two sub directory finisht static svn finisht checked one place static checked elsewhere like svn svn+ssh admin domain example home admin repos finisht static static way git,git
57,check number power today needed simple algorithm checking number power algorithm need simple correct ulong value came simple algorithm private bool ispoweroftwo ulong number number return false ulong power power power power loop used shifting power meaning value become last shift binary loop break power number return true power number return false return false thought checking log exactly round number checked math log returned exactly rounding checked power equal original number calculation done double exact number private bool ispoweroftwo ulong number double log math log number double pow math pow math round log return pow number returned true given wrong value better algorithm,c#
58,docker error bind address already use run docker compose docker project fails following message error starting userland proxy listen tcp bind address already use netstat pna grep show tcp listen already tried docker compose help,ubuntu
59,dismiss keyboard uitextview return key library introduction tell return key pressed keyboard uitextview disappear actually return key act add button use txtview resignfirstresponder hide keyboard way add action return key keyboard need add uibutton,iphone
60,sending email gmail smtp server reason neither accepted answer others work sending email net gmail would work update tried answer accepted otherwise question none work would like know work anyone else otherwise google may changed something happened try piece code smtpdeliverymethod network quickly receive smtpexception send message message smtp server requires secure connection client authenticated server response authentication required learn seriously end update question asked long time ago accepted answer code used many many time different project taken idea post emailsender project create emailsender project codeplex designed testability support favourite smtp service godaddy gmail,c#
61,watermark hint placeholder text textbox put text textbox removed automatically user type something,c#
62,automatically accept sdk licence since gradle android plugins alpha gradle attempt download missing sdk package project depends amazingly cool know jakewharton project download sdk library need accept license agreement gradle tell accepted license agreement following sdk component android sdk build tool android sdk platform building project need accept license agreement complete installation missing component using android studio sdk manager alternatively learn transfer license agreement one workstation another http android com studio export license html problem would love install sdk dependency gradle build looking solution automatically accept license maybe gradle script idea,android
63,multiple modal overlay need overlay show first modal back openbtn click function mymodal modal show true data toggle modal href mymodal class btn btn primary launch modal div class modal mymodal div class modal dialog div class modal content div class modal header button type button class close data dismiss modal aria hidden true button class modal title modal title div div class container div div class modal body content dialog modal data toggle modal href mymodal class btn btn primary launch modal div div class modal footer href data dismiss modal class btn close href class btn btn primary save change div div div div div class modal mymodal data backdrop static div class modal dialog div class modal content div class modal header button type button class close data dismiss modal aria hidden true button class modal title second modal title div div class container div div class modal body content dialog modal div div class modal footer href data dismiss modal class btn close href class btn btn primary save change div div div div link rel stylesheet href http cdnjs cloudflare com ajax libs twitter bootstrap bootstrap min script src http cdnjs cloudflare com ajax libs jquery jquery min script script src http cdnjs cloudflare com ajax libs twitter bootstrap bootstrap min script tried change index modal backdrop becomes mess case two modal page,javascript
64,get screen dimension pixel android created custom element want programmatically place upper right corner pixel top edge pixel right edge therefore need get screen width screen height set position int screenwidth int screenheight get screenwidth screenheight main activity,android
65,convert string int textboxd text want convert int store database,c#
66,possible disable floating header uitableview uitableviewstyleplain using uitableview layout content page using header table view layout certain image etc would prefer float stayed static style set uitableviewstylegrouped using uitableviewstylegrouped way would like avoid using grouped add margin cell requires disabling background view cell would like full control layout ideally would uitableviewstylebarebones see option doc many thanks,ios
67,delete reset entry core data know way delete entry stored core data schema stay want reset blank edit looking programmatically user essentially hit reset button,ios
68,force git pull overwrite local file force overwrite local file git pull local repository contains file filename server error untracked working tree file example txt would overwritten merge,git
69,make uitextfield move keyboard present starting edit sdk uiview uitextfield bring keyboard need able allow scrolling content uiscrollview see text field keyboard brought automatically jump scrolling shortening know need uiscrollview tried changing class uiview uiscrollview still unable scroll textboxes need uiview uiscrollview one inside need implemented order automatically scroll active text field ideally much setup component possible done interface builder would like write code need note uiview uiscrollview working brought tabbar uitabbar need function normal adding scroll bar keyboard come even though needed feel like provides better interface user scroll change textboxes example got working change frame size uiscrollview keyboard simply using void textfielddidbeginediting uitextfield textfield keyboard becomes visible scrollview frame cgrectmake scrollview frame origin scrollview frame origin scrollview frame size width scrollview frame size height resize void textfielddidendediting uitextfield textfield keyboard hide scrollview frame cgrectmake scrollview frame origin scrollview frame origin scrollview frame size width scrollview frame size height resize however automatically move center lower text field visible area would really like,ios
70,sort array object string property value array javascript object var objs first nom lazslo last nom jamf first nom pig last nom bodine first nom pirate last nom prentice sort value last nom javascript know sort seems work string number need add tostring method object,javascript
71,retrieving last record group mysql table message contains data shown name column data data data data data data run query select message group name get result data data data query return following result data data data last record group returned present query use select select message order desc group name look highly inefficient way achieve result,mysql
72,create basic uibutton programmatically create basic uibutton programmatically example view controller executing viewdidload method three uibutton created dynamically layout property set,ios
73,change title back button navigation bar currently left bar button default value title view loaded current one word view shown button pressed back button want change text shown button something else tried putting following line code view controller viewdidload method seem work self navigationitem leftbarbuttonitem title log thanks,ios
74,using namespace std considered bad practice heard using namespace std bad practice use std cout std cin directly instead risk declaring variable share name something std namespace,c++
75,node heap memory today ran script filesystem indexing refresh raid file index crashed following error creating missing list file missing creating new file list new file last mark sweep allocation failure old space requested mark sweep allocation failure old space requested mark sweep last resort mark sweep last resort stacktrace stack trace security context object sparsejoinwithseparatorjs aka sparsejoinwithseparatorjs native array undefined array function converttostring sharedfunctioninfo string join aka join native array undefin fatal error call retry last allocation failed javascript heap memory node abort usr bin node usr bin node utils reportapifailure char const char const usr bin node internal fatalprocessoutofmemory char const bool usr bin node internal factory newrawtwobytestring int internal pretenureflag usr bin node internal runtime sparsejoinwithseparator int internal object internal isolate usr bin node server equipped ram ssd swap highly doubt script exceeded memory least script creates index file stored array object file metadata modification date permission etc big data full script code http pastebin com mjad already experiend weird node issue past script forced split index multiple file node glitching working big file string way improve nodejs memory management huge datasets,javascript
76,select first day month sql one select first day month given datetime variable know quite easy using kind code select cast cast year mydate varchar cast month mydate varchar datetime elegant fast either better way,sql
77,making textview scrollable android displaying text textview appears long fit one screen need make textview scrollable code final textview new textview setbackgroundresource drawable splash settypeface face settextsize settextcolor color brown setgravity gravity center vertical gravity center horizontal setontouchlistener new ontouchlistener public boolean ontouch view motionevent random new random int nextint getaction action settext tip setbackgroundresource drawable inner return true setcontentview,android
78,set status bar style swift using xcode beta previous version uiviewcontroller method set status bar style public func preferredstatusbarstyle uistatusbarstyle however found changed get varaiable swift public var preferredstatusbarstyle uistatusbarstyle get provide style use uiviewcontroller,ios
79,django templatedoesnotexist local machine running python nginx ubuntu django builded latest development trunk every url request throw templatedoesnotexist appname path appname template name html django tried loading template order using loader django template loader filesystem function using loader django template loader app directory function template dirs usr lib python site package projectname template looking usr lib python site package projectname template appname template name html case weird thing file existed disk django locate run application remote server python ubuntu without problem setting anything misconfigured local machine could possibly caused error look setting specified setting path path normpath path dirname file find template folder setting template dirs path join setting path template looking following file usr lib python site package projectname template appname template html usr lib python site package projectname template appname template html usr lib python site package projectname template appname template html file exist disk solved work tried chown www data www data usr lib python site package projectname strange need remote server make work,python
80,difference dip difference unit measure dip,android
81,fix hibernate object reference unsaved transient instance save transient instance flushing error receive following error save object using hibernate object reference unsaved transient instance save transient instance flushing,java
82,stop c++ console application exiting immediately lately trying learn c++ website unfortunately whenever try run one code sample see program open half second immediately close way stop program closing immediately see fruit effort,c++
83,determine variable undefined null determine variable undefined null code follows var empname div esd name div name attr class empname undefined something div esd name div name div div javascript interpreter halt execution,javascript
84,download single folder directory github repo download specific folder directory remote git repo hosted github say example github repo life git github com foobar test git directory structure test foo bar want download foo folder clone whole test project,git
85,html dragleave fired hovering child element problem dragleave event element fired hovering child element element also dragenter fired hovering back parent element made simplified fiddle http jsfiddle net pimvdb html div drag draggable true drag div div drop drop child parent div following javascript drop bind dragenter function addclass red dragleave function removeclass red drag bind dragstart function allowedeffect copy setdata text plain test supposed notifying user making drop div red dragging something work drag child dragleave fired div red anymore moving back drop div also make red necessary move completely drop div drag back make red possible prevent dragleave firing dragging child element update look pointer event none described answer work modern browser,javascript
86,generate integer among four billion given one given interview question given input file four billion integer provide algorithm generate integer contained file assume memory follow would memory analysis size file byte external sorting thus letting know range integer question best way detect missing integer sorted big integer set understanding reading answer assuming talking bit integer distinct integer case bit billion bit memory solution use one bit representing one distinct integer enough need sort implementation int radix byte bitfield new byte xffffffff radix void throw filenotfoundexception scanner new scanner new filereader txt hasnextint int nextint bitfield radix radix int bitfield lenght i++ int radix j++ bitfield system print radix+j case memory bit million bit solution possible bit prefix number integer need million bit need build bucket bucket need byte holding possibility worst case billion integer belong bucket build counter bucket first pas file scan bucket find first one hit build new bucket whose high bit prefix found step second pas file scan bucket built step find first bucket hit code similar one conclusion decrease memory increasing file pas clarification arriving late question asked say exactly one integer contained file least people interpret many comment comment thread variation task though unfortunately comment introduced comment thread later deleted author look like orphaned reply misunderstood everything confusing sorry,algorithm
87,resolve promise one another sequence consider following code read array file serial sequential manner readfiles return promise resolved file read sequence var readfile function file return promise var readfiles function file return new promise resolve reject var readsequential function index index file length resolve else readfile file index function readsequential index catch reject readsequential start first file code work like recursion thing occur sequentially simpler way code written use weird readsequential function originally tried use promise caused readfile call happen concurrently want var readfiles function file return promise file map function file return readfile file,javascript
88,module named pkg resource deploying django app dev server hitting error run pip install requirement txt traceback recent call last file var www mydir virtualenvs dev bin pip line module pkg resource import load entry point importerror module named pkg resource pkg resource appears distributed setuptools initially thought might installed python virtualenv installed setuptools version python python site package virtualenv following command setuptools egg install dir var www mydir virtualenvs dev lib python site package edit happens inside virtualenv open console outside virtualenv pkg resource present still getting error idea pkg resource path,python
89,unprotected private key file error using ssh amazon instance aws created new linux instance amazon part downloaded pem file allow ssh tried ssh ssh myfile pem public dns got warning unprotected private key file permission amazonec pem open recommended private key file accessible others private key ignored bad permission ignore key amazonec pem permission denied publickey following post tried chmod pem file ssh get permission denied publickey school boy error making pem file home folder macos permission look like mattroberts staff nov amazonec pem,amazon-web-services
90,resolve java lang noclassdeffounderror javax xml bind jaxbexception code jaxb api class provided part jdk java run code java runtime get error indicating jaxb class found jaxb class provided part jdk since java java longer find class,java
91,hide separator line one uitableviewcell customizing uitableview want hide line separating last cell know tableview separatorstyle uitableviewcellstyle none would affect cell tableview want affect last cell,ios
92,validate mail address swift anyone know validate mail address swift found code bool validemail nsstring emailstring emailstring length return nsstring regexpattern nsregularexpression regex nsregularexpression alloc initwithpattern regexpattern option nsregularexpressioncaseinsensitive error nil nsuinteger regexmatches regex numberofmatchesinstring emailstring option range nsmakerange emailstring length nslog regexmatches regexmatches return else return yes translate swift,ios
93,select nth row sql database table interested learning ideally database agnostic way selecting row database table would also interesting see achieved using native functionality following database sql server mysql postgresql sqlite oracle currently something like following sql server would interested seeing agnostic approach ordered select row number order orderid rownumber orderid orderdate order select ordered rownumber credit sql firoz ansari weblog update see troels arvin answer regarding sql standard troels got link cite,mysql
94,select random element list need quick algorithm select random element generic list example would like get random element list string,c#
95,prefer composition inheritance prefer composition inheritance trade offs approach choose inheritance composition,language-agnostic
96,size uitextview content good way adjust size uitextview conform content say instance uitextview contains one line text hello world add another line text goodbye world good way cocoa touch get rect hold line text view adjust parent view accordingly another example look note field event calendar application note cell uitextview contains expands hold line text note string,ios
97,use php get current year want put copyright notice footer web site think incredibly tacky year outdated would make year update automatically php php,php
98,faster best select select column colum column etc heard select generally bad practice use writing sql command efficient select column specifically need need select every column table use select table select column colum column etc table efficiency really matter case would think select would optimal internally really need data saying real understanding database curious know best practice case update probably specify situation would really want select selecting data one table know column always need retrieved even new column added given response seen however still seems like bad idea select never used lot technical reason ever though,sql
99,potentially dangerous request form value detected client every time user post something containing page web application get exception thrown want discussion smartness throwing exception crashing entire web application somebody entered character text box looking elegant way handle trapping exception showing error occurred please back type entire form time please use seem professional enough disabling post validation validaterequest false definitely avoid error leave page vulnerable number attack ideally post back occurs containing html restricted character posted value form collection automatically html encoded text property text box something html way handler,asp.net
100,using async await foreach loop issue using async await foreach loop trying loop array file await content file import promise async function printfiles const file await getfilepaths assume work fine file foreach async file const content await readfile file utf console log content printfiles code work could something wrong someone tell supposed use async await higher order function like wanted ask issue,javascript
101,wrong foreign key remember hearing joel spolsky mention podcast would barely ever used foreign key remember correctly however seem pretty vital avoid duplication subsequent data integrity problem throughout database people solid reason avoid discussion line stack overflow principle edit yet reason create foreign key might first reason actually set one,database
102,preparedstatement clause alternative best workarounds using sql clause instance java sql preparedstatement supported multiple value due sql injection attack security issue one placeholder represents one value rather list value consider following sql statement select column table search column using preparedstatement setstring essentially non working attempt workaround reason using first place workarounds available,java
103,hide keyboard using swiftui hide keyboard using swiftui case case textfield need hide keyboard user click return button case textfield need hide keyboard user tap outside using swiftui note asked question regarding uitextfield want using swifui textfield,ios
104,reset postgres primary key sequence fall sync ran problem primary key sequence sync table row insert new row get duplicate key error sequence implied serial datatype return number already exists seems caused import restores maintaining sequence properly,sql
105,find file containing specific text string linux find file containing specific string text within file content following work seems display every single file system find type exec grep text find,linux
106,inline bytecode built jvm target bytecode built jvm target trying run example cordapp github cordapp via intellij receive following error inline bytecode built jvm target bytecode built jvm target modify intellij setting bytecode built jvm target,android
107,php session lost redirect resolve problem losing session redirect php recently encountered common problem losing session redirect searching website still find solution although came closest update found answer thought would post help anyone experiencing problem,php
108,xcode building simulator linking object file built architecture arm trying get large working xcode project building xcode beta prepare codebase previously objective contains objective swift pod objective swift well pulled new beta cocoapods xcode support currently beta pod install successful build get following error pod framework building simulator linking object file built architecture arm possibly also error unable load standard library target arm apple run lipo info framework armv armv arm previously project valid architecture set armv armv arm xcode setting away per apple documentation architecture set arch standard nothing set excluded architecture may going able reproduce simpler project yet,ios
109,enable cors asp net core webapi trying backend asp net core web api hosted azure free plan source code http github com killerrin portfolio backend also client website want make consume api client application hosted azure rather hosted github page another web hosting service access domain name line looking need enable cors web api side however tried everything several hour refusing work client setup simple client written react calling apis ajax jquery react site work know jquery api call work confirmed attempt make call var apiurl http andrewgodfroyportfolioapi azurewebsites net api authentication alert username password apiurl ajax url apiurl type post data username username password password contenttype application json charset utf datatype json success function response var authenticateduser json parse response alert data loaded authenticateduser oncomplete null oncomplete authenticateduser error function xhr status error alert xhr responsetext oncomplete null oncomplete xhr responsetext tried attempt proper way http learn microsoft com aspnet core security cors followed tutorial microsoft website trying option enabling globally startup setting every controller trying every action following method cross domain work single action single controller post accountcontroller everything else microsoft aspnetcore cors middleware refuse set header installed microsoft aspnetcore cors nuget version setup startup method get called runtime use method add service container public void configureservices iservicecollection service add cors service addcors addpolicy mypolicy builder builder allowanyorigin allowanymethod allowanyheader add framework service service addmvc service configure mvcoptions option option filter add new corsauthorizationfilterfactory mypolicy method get called runtime use method configure http request pipeline public void configure iapplicationbuilder app ihostingenvironment env iloggerfactory loggerfactory loggerfactory addconsole configuration getsection logging loggerfactory adddebug enable cors app usecors mypolicy app usemvcwithdefaultroute app usemvc see everything told add cors mvc time work attempted putting enablecors mypolicy every controller route api controller enablecors mypolicy public class admincontroller controller attempt brute forcing http andrewlock net adding default security header asp net core several hour trying previous attempt figured would try bruteforce trying set header manually forcing run every response following tutorial manually add header every response header added addcustomheader access control allow origin addcustomheader access control allow method addcustomheader access control allow header addcustomheader access control max age header tried failed addcustomheader access control allow method get post put patch delete addcustomheader access control allow header content type accept pingother addcustomheader access control allow header pingother host user agent accept accept application json application json accept language accept encoding access control request method access control request header origin connection content type content type application json authorization connection origin referer method cross site header properly applied show developer console postman problem however pass access control allow origin check webbrowser throw hissy fit believe access control allow header stating unsupported medium type brute force method work either finally anyone gotten work could lend hand able point right direction edit get api call stop using jquery switch pure javascript xmlhttprequest format attempt managed get microsoft aspnetcore cors work following mindingdata answer except within configure method putting app usecors app usemvc addition mixed javascript api solution option allowanyorigin wildcard support began work well attempt managed get attempt brute forcing work exception wildcard access control allow origin work manually set domain access obviously ideal since want webapi wide opened everyone atleast work separate site mean start app usesecurityheadersmiddleware new securityheadersbuilder adddefaultsecurepolicy addcustomheader access control allow origin http localhost addcustomheader access control allow method option get post put patch delete addcustomheader access control allow header pingother content type authorization,c#
